,day1,day2,day3,day4,day5
1487,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.11418769728634945,-0.1128239026270911
1488,0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.14646756604379518,-0.13834184676429584
1489,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.1052829059049851,-0.18826825920665285
1490,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.16427714880652386,-0.16164083923739578
1491,0.31863936396437514,0.31863936396437514,-0.31863936396437514,-0.18987842402794636,-0.18826825920665285
1492,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.18987842402794636,-0.18826825920665285
1493,0.31863936396437514,0.31863936396437514,-0.31863936396437514,-0.049627959771457966,-0.04847430436805317
1494,-0.31863936396437514,-0.31863936396437514,0.31863936396437514,0.13292026354651104,0.1334797320885369
1495,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.0663244436115161,-0.0673353935129436
1496,-0.31863936396437514,-0.31863936396437514,0.31863936396437514,0.6649815485830304,0.6771228897942024
1497,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.18987842402794636,-0.18826825920665285
1498,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.18987842402794636,-0.18826825920665285
1499,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.18987842402794636,-0.18826825920665285
1500,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.18987842402794636,-0.150546080916872
1501,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.18987842402794636,-0.1549839842450815
1502,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.16872954449720604,-0.1660787425656053
1503,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.06855064145685719,-0.0673353935129436
1504,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.14090207143044248,-0.18826825920665285
1505,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.16872954449720604,-0.16385979090150055
1506,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.17986053372391145,-0.17717350088612907
1507,1.1503493803760079,-0.31863936396437514,1.1503493803760079,1.0879591391978367,1.083191044325373
1508,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.10750910375032618,-0.10838599929888161
1509,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.07968163068356263,-0.18826825920665285
1510,0.31863936396437514,0.31863936396437514,0.31863936396437514,0.35108765238993744,0.3509369951708031
1511,-0.31863936396437514,0.31863936396437514,0.31863936396437514,0.007140085284739713,0.006999487234565755
1512,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.09415191667827968,-0.09063438598604355
1513,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.1731819401878882,-0.17051664589381482
1514,0.31863936396437514,0.31863936396437514,0.31863936396437514,0.288754112720387,0.2888063485758699
1515,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.18987842402794636,-0.18826825920665285
1516,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.18987842402794636,-0.18826825920665285
1517,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.18987842402794636,-0.18826825920665285
1518,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.18987842402794636,-0.18826825920665285
1519,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.18987842402794636,-0.1805019283822862
1520,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.18987842402794636,-0.1805019283822862
1521,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.18987842402794636,-0.1716261217258672
1522,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.18987842402794636,-0.17717350088612907
1523,1.1503493803760079,1.1503493803760079,1.1503493803760079,0.938803883559984,0.9323023311662493
1524,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.18987842402794636,-0.18826825920665285
1525,-0.31863936396437514,-0.31863936396437514,-0.31863936396437514,-0.18987842402794636,-0.1793924525502338
